0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	+8.58363193803258E-6	+1.719652075698612E-5	+2.5856888614283523E-5	+3.4599839119135144E-5	+4.342745775627757E-5	+5.237516348631132E-5	+6.142367755027215E-5	+7.060275011348284E-5	+7.98664177544029E-5	+8.923257008563903E-5	+9.8623635500207E-5	+1.0804005219874052E-4	+1.1736924657292555E-4	+1.2659071930259477E-4	+1.3555684144714279E-4	+1.442268774441486E-4	+1.5242359289004224E-4	+1.6009297762984088E-4	+1.6704077991509382E-4	+1.7321384348199364E-4	+1.78420380528482E-4	+1.826277381631339E-4	+1.856696694397242E-4	+1.8755434032714877E-4	+1.8816153005366356E-4	+1.8755434032714877E-4	+1.856696694397242E-4	+1.826277381631339E-4	+1.7842038052848198E-4	+1.7321384348199356E-4	+1.6704077991509374E-4	+1.6009297762984082E-4	+1.5242359289004218E-4	+1.4422687744414855E-4	+1.355568414471427E-4	+1.265907193025947E-4	+1.173692465729255E-4	+1.0804005219874046E-4	+9.862363550020695E-5	+8.923257008563898E-5	+7.986641775440283E-5	+7.060275011348279E-5	+6.142367755027208E-5	+5.2375163486311266E-5	+4.342745775627752E-5	+3.459983911913511E-5	+2.5856888614283496E-5	+1.71965207569861E-5	+8.583631938032572E-6	0.0	
0.0	+1.719652075698612E-5	+3.444341248496225E-5	+5.1807955552734175E-5	+6.931342698437495E-5	+8.703337685794838E-5	+1.0495368625958439E-4	+1.2314260736677734E-4	+1.4153791721855164E-4	+1.6019009808273876E-4	+1.7897812165133822E-4	+1.9792228087435042E-4	+2.168336029080096E-4	+2.356921221359386E-4	+2.542363540480824E-4	+2.724021207459852E-4	+2.8985972424626805E-4	+3.065075689379978E-4	+3.2196533230775294E-4	+3.361152591274861E-4	+3.485594286853308E-4	+3.5919955262696935E-4	+3.6766539845522583E-4	+3.7392155601777147E-4	+3.7767288709282954E-4	+3.789850805752619E-4	+3.7767288709282954E-4	+3.7392155601777136E-4	+3.676653984552258E-4	+3.591995526269693E-4	+3.485594286853308E-4	+3.361152591274859E-4	+3.219653323077528E-4	+3.0650756893799765E-4	+2.8985972424626794E-4	+2.7240212074598514E-4	+2.5423635404808227E-4	+2.3569212213593854E-4	+2.1683360290800942E-4	+1.979222808743503E-4	+1.7897812165133808E-4	+1.6019009808273865E-4	+1.415379172185515E-4	+1.2314260736677717E-4	+1.0495368625958428E-4	+8.703337685794828E-5	+6.931342698437488E-5	+5.180795555273412E-5	+3.444341248496221E-5	+1.71965207569861E-5	0.0	
0.0	+2.5856888614283523E-5	+5.1807955552734175E-5	+7.791447370616122E-5	+1.0428813070712336E-4	+1.309420984995306E-4	+1.5798898344282446E-4	+1.853779999119504E-4	+2.1320432574274537E-4	+2.413365600638857E-4	+2.6983285201594815E-4	+2.984649930365424E-4	+3.2723553653277567E-4	+3.558071111270053E-4	+3.8411379988219536E-4	+4.1170637330822273E-4	+4.384502037638254E-4	+4.6379869207311314E-4	+4.875684773590159E-4	+5.091537735663109E-4	+5.283670595995931E-4	+5.446059266624899E-4	+5.57743742671957E-4	+5.672583660201773E-4	+5.731535834051515E-4	+5.750574050265892E-4	+5.731535834051515E-4	+5.672583660201773E-4	+5.57743742671957E-4	+5.446059266624899E-4	+5.283670595995931E-4	+5.091537735663109E-4	+4.875684773590157E-4	+4.63798692073113E-4	+4.384502037638252E-4	+4.117063733082225E-4	+3.8411379988219515E-4	+3.558071111270051E-4	+3.2723553653277545E-4	+2.984649930365422E-4	+2.698328520159479E-4	+2.413365600638855E-4	+2.132043257427452E-4	+1.8537799991195025E-4	+1.5798898344282432E-4	+1.3094209849953047E-4	+1.0428813070712325E-4	+7.791447370616113E-5	+5.180795555273412E-5	+2.58568886142835E-5	0.0	
0.0	+3.4599839119135144E-5	+6.931342698437495E-5	+1.0428813070712336E-4	+1.395841071265763E-4	+1.7536135315347932E-4	+2.116058883029771E-4	+2.484669356408789E-4	+2.858342080864197E-4	+3.2381989091590207E-4	+3.6219393303730195E-4	+4.01003824764085E-4	+4.3987778294401233E-4	+4.787740285065034E-4	+5.171648138413973E-4	+5.549058496045064E-4	+5.913168734757819E-4	+6.261605440367386E-4	+6.586369128045127E-4	+6.884586074345549E-4	+7.147761438489105E-4	+7.373317652229042E-4	+7.553296182725036E-4	+7.686446372069135E-4	+7.766476932254272E-4	+7.794411288391912E-4	+7.76647693225427E-4	+7.686446372069133E-4	+7.553296182725036E-4	+7.373317652229042E-4	+7.147761438489103E-4	+6.884586074345548E-4	+6.586369128045125E-4	+6.261605440367382E-4	+5.913168734757815E-4	+5.54905849604506E-4	+5.171648138413972E-4	+4.787740285065031E-4	+4.3987778294401195E-4	+4.0100382476408465E-4	+3.6219393303730163E-4	+3.238198909159018E-4	+2.858342080864194E-4	+2.484669356408786E-4	+2.116058883029769E-4	+1.7536135315347913E-4	+1.3958410712657616E-4	+1.0428813070712325E-4	+6.931342698437488E-5	+3.459983911913511E-5	0.0	
0.0	+4.3427457756277575E-5	+8.703337685794839E-5	+1.3094209849953063E-4	+1.7536135315347932E-4	+2.203366568325962E-4	+2.660776268747819E-4	+3.1252420240345023E-4	+3.5985623302744525E-4	+4.078781958085051E-4	+4.5670420629202605E-4	+5.059715317142881E-4	+5.556913980209549E-4	+6.05305511576216E-4	+6.546918269992972E-4	+7.0308227830534E-4	+7.50211680447888E-4	+7.95118204023847E-4	+8.374218009465961E-4	+8.760302076291429E-4	+9.105291296171664E-4	+9.39814129779392E-4	+9.63567259907283E-4	+9.808291347165499E-4	+9.91527612445055E-4	+9.949985951068503E-4	+9.91527612445055E-4	+9.808291347165499E-4	+9.63567259907283E-4	+9.39814129779392E-4	+9.105291296171664E-4	+8.760302076291427E-4	+8.37421800946596E-4	+7.951182040238466E-4	+7.502116804478876E-4	+7.030822783053396E-4	+6.546918269992971E-4	+6.053055115762156E-4	+5.556913980209545E-4	+5.059715317142876E-4	+4.567042062920256E-4	+4.078781958085047E-4	+3.598562330274448E-4	+3.125242024034499E-4	+2.6607762687478156E-4	+2.2033665683259595E-4	+1.7536135315347913E-4	+1.3094209849953044E-4	+8.703337685794828E-5	+4.342745775627752E-5	0.0	
0.0	+5.2375163486311334E-5	+1.0495368625958442E-4	+1.5798898344282454E-4	+2.1160588830297712E-4	+2.660776268747819E-4	+3.2142035965668746E-4	+3.778918784429864E-4	+4.3536504750949103E-4	+4.940399728793503E-4	+5.53606194729644E-4	+6.141576315857684E-4	+6.751579404698325E-4	+7.36545934137415E-4	+7.975235770125136E-4	+8.578387976852164E-4	+9.164207198886412E-4	+9.728260984637968E-4	+0.0010257501845401169	+0.0010746204333402655	+0.0011180112490975377	+0.0011553613644166825	+0.00118531418330376	+0.0012075224343855466	+0.0012209246810266556	+0.0012255879977231534	+0.0012209246810266552	+0.0012075224343855463	+0.00118531418330376	+0.0011553613644166823	+0.0011180112490975374	+0.001074620433340265	+0.0010257501845401162	+9.728260984637962E-4	+9.164207198886407E-4	+8.578387976852161E-4	+7.975235770125131E-4	+7.365459341374146E-4	+6.75157940469832E-4	+6.14157631585768E-4	+5.536061947296435E-4	+4.940399728793497E-4	+4.353650475094906E-4	+3.77891878442986E-4	+3.214203596566871E-4	+2.6607762687478156E-4	+2.116058883029769E-4	+1.5798898344282432E-4	+1.0495368625958428E-4	+5.2375163486311266E-5	0.0	
0.0	+6.142367755027215E-5	+1.2314260736677736E-4	+1.8537799991195046E-4	+2.4846693564087893E-4	+3.1252420240345023E-4	+3.7789187844298637E-4	+4.4454116993853667E-4	+5.127735463975061E-4	+5.823712202760985E-4	+6.535384290596244E-4	+7.258141743000077E-4	+7.992399168596166E-4	+8.730539347334626E-4	+9.470707189110079E-4	+0.0010201829267765493	+0.001091938016903055	+0.001160880451922182	+0.0012263110165036941	+0.0012865058685505332	+0.0013406396556293533	+0.0013869143381078607	+0.0014246138403532197	+0.0014521610181682462	+0.001469249899652519	+0.0014748306671254496	+0.001469249899652519	+0.0014521610181682462	+0.0014246138403532197	+0.0013869143381078607	+0.0013406396556293531	+0.001286505868550533	+0.0012263110165036937	+0.0011608804519221815	+0.0010919380169030545	+0.0010201829267765489	+9.470707189110075E-4	+8.73053934733462E-4	+7.99239916859616E-4	+7.258141743000072E-4	+6.535384290596238E-4	+5.823712202760981E-4	+5.127735463975057E-4	+4.445411699385363E-4	+3.77891878442986E-4	+3.1252420240344996E-4	+2.4846693564087866E-4	+1.8537799991195025E-4	+1.2314260736677717E-4	+6.142367755027208E-5	0.0	
0.0	+7.060275011348286E-5	+1.4153791721855166E-4	+2.1320432574274543E-4	+2.8583420808641973E-4	+3.5985623302744525E-4	+4.3536504750949103E-4	+5.127735463975061E-4	+5.919917587234923E-4	+6.733567625703389E-4	+7.565329050023811E-4	+8.417044072440668E-4	+9.282148915205771E-4	+0.001016005935700226	+0.0011040212840928	+0.001191875062345468	+0.0012780550764488858	+0.0013618067126536769	+0.0014411786721981756	+0.001515109382921899	+0.0015813616537499675	+0.0016387898632788	+0.0016851981294776076	+0.001719740644118742	+0.0017407082007018927	+0.0017479782298467344	+0.0017407082007018927	+0.0017197406441187418	+0.0016851981294776074	+0.0016387898632787999	+0.0015813616537499672	+0.0015151093829218988	+0.0014411786721981754	+0.001361806712653676	+0.0012780550764488851	+0.0011918750623454676	+0.0011040212840927998	+0.0010160059357002256	+9.282148915205763E-4	+8.417044072440662E-4	+7.565329050023806E-4	+6.733567625703384E-4	+5.919917587234918E-4	+5.127735463975057E-4	+4.3536504750949065E-4	+3.5985623302744487E-4	+2.858342080864194E-4	+2.132043257427452E-4	+1.415379172185515E-4	+7.060275011348279E-5	0.0	
0.0	+7.986641775440293E-5	+1.6019009808273884E-4	+2.413365600638858E-4	+3.238198909159022E-4	+4.078781958085051E-4	+4.940399728793504E-4	+5.823712202760985E-4	+6.73356762570339E-4	+7.668287865412859E-4	+8.631474405289615E-4	+9.618264311560256E-4	+0.001062994043759041	+0.0011657387680915642	+0.0012698313942039858	+0.001373823677799044	+0.0014770155463277078	+0.001577352923930679	+0.0016736303233657733	+0.0017632463707621866	+0.0018446337075880839	+0.0019149302925716527	+0.0019726093947646847	+0.002015094065755914	+0.0020415084646297184	+0.0020502059091473852	+0.0020415084646297184	+0.0020150940657559136	+0.0019726093947646847	+0.0019149302925716525	+0.0018446337075880836	+0.0017632463707621861	+0.0016736303233657727	+0.0015773529239306785	+0.0014770155463277072	+0.0013738236777990432	+0.0012698313942039853	+0.0011657387680915636	+0.00106299404375904	+9.61826431156025E-4	+8.631474405289608E-4	+7.668287865412854E-4	+6.733567625703384E-4	+5.823712202760981E-4	+4.940399728793497E-4	+4.078781958085048E-4	+3.2381989091590185E-4	+2.4133656006388555E-4	+1.6019009808273865E-4	+7.986641775440285E-5	0.0	
